sample_id,qr_payload_raw,contains_url,url_raw,url_canonical,scheme,host,etld_plus_one,tld,path,query,fragment_present,port,redirect_final_url,redirect_hops,scan_time,source,label,label_confidence,label_method,notes
s0001,https://google.com,true,https://google.com,https://google.com,https,google.com,google.com,com,,,false,,https://google.com,0,2026-02-08T10:00:00Z,curated_seed,benign,0.99,manual,seed_benign
s0002,https://openai.com,true,https://openai.com,https://openai.com,https,openai.com,openai.com,com,,,false,,https://openai.com,0,2026-02-08T10:01:00Z,curated_seed,benign,0.99,manual,seed_benign
s0003,https://github.com/login,true,https://github.com/login,https://github.com/login,https,github.com,github.com,com,/login,,false,,https://github.com/login,0,2026-02-08T10:02:00Z,curated_seed,benign,0.97,manual,seed_benign
s0004,https://docs.python.org/3/,true,https://docs.python.org/3/,https://docs.python.org/3/,https,docs.python.org,python.org,org,/3/,,false,,https://docs.python.org/3/,0,2026-02-08T10:03:00Z,curated_seed,benign,0.98,manual,seed_benign
s0005,https://wikipedia.org/wiki/QR_code,true,https://wikipedia.org/wiki/QR_code,https://wikipedia.org/wiki/QR_code,https,wikipedia.org,wikipedia.org,org,/wiki/QR_code,,false,,https://wikipedia.org/wiki/QR_code,0,2026-02-08T10:04:00Z,curated_seed,benign,0.98,manual,seed_benign
s0006,https://stackoverflow.com/questions,true,https://stackoverflow.com/questions,https://stackoverflow.com/questions,https,stackoverflow.com,stackoverflow.com,com,/questions,,false,,https://stackoverflow.com/questions,0,2026-02-08T10:05:00Z,curated_seed,benign,0.98,manual,seed_benign
s0007,https://pypi.org/project/pandas,true,https://pypi.org/project/pandas,https://pypi.org/project/pandas,https,pypi.org,pypi.org,org,/project/pandas,,false,,https://pypi.org/project/pandas,0,2026-02-08T10:06:00Z,curated_seed,benign,0.98,manual,seed_benign
s0008,https://www.nytimes.com,true,https://www.nytimes.com,https://www.nytimes.com,https,www.nytimes.com,nytimes.com,com,,,false,,https://www.nytimes.com,0,2026-02-08T10:07:00Z,curated_seed,benign,0.96,manual,seed_benign
s0009,https://www.apple.com/iphone,true,https://www.apple.com/iphone,https://www.apple.com/iphone,https,www.apple.com,apple.com,com,/iphone,,false,,https://www.apple.com/iphone,0,2026-02-08T10:08:00Z,curated_seed,benign,0.97,manual,seed_benign
s0010,https://www.microsoft.com/en-us,true,https://www.microsoft.com/en-us,https://www.microsoft.com/en-us,https,www.microsoft.com,microsoft.com,com,/en-us,,false,,https://www.microsoft.com/en-us,0,2026-02-08T10:09:00Z,curated_seed,benign,0.97,manual,seed_benign
s0011,https://www.amazon.com/gp/help,true,https://www.amazon.com/gp/help,https://www.amazon.com/gp/help,https,www.amazon.com,amazon.com,com,/gp/help,,false,,https://www.amazon.com/gp/help,0,2026-02-08T10:10:00Z,curated_seed,benign,0.96,manual,seed_benign
s0012,https://developer.mozilla.org,true,https://developer.mozilla.org,https://developer.mozilla.org,https,developer.mozilla.org,mozilla.org,org,,,false,,https://developer.mozilla.org,0,2026-02-08T10:11:00Z,curated_seed,benign,0.98,manual,seed_benign
s0013,https://www.reuters.com,true,https://www.reuters.com,https://www.reuters.com,https,www.reuters.com,reuters.com,com,,,false,,https://www.reuters.com,0,2026-02-08T10:12:00Z,curated_seed,benign,0.97,manual,seed_benign
s0014,https://www.bbc.com/news,true,https://www.bbc.com/news,https://www.bbc.com/news,https,www.bbc.com,bbc.com,com,/news,,false,,https://www.bbc.com/news,0,2026-02-08T10:13:00Z,curated_seed,benign,0.97,manual,seed_benign
s0015,https://www.udemy.com/course/python,true,https://www.udemy.com/course/python,https://www.udemy.com/course/python,https,www.udemy.com,udemy.com,com,/course/python,,false,,https://www.udemy.com/course/python,0,2026-02-08T10:14:00Z,curated_seed,benign,0.95,manual,seed_benign
s0016,https://www.khanacademy.org,true,https://www.khanacademy.org,https://www.khanacademy.org,https,www.khanacademy.org,khanacademy.org,org,,,false,,https://www.khanacademy.org,0,2026-02-08T10:15:00Z,curated_seed,benign,0.97,manual,seed_benign
s0017,http://bit.ly/free-login,true,http://bit.ly/free-login,http://bit.ly/free-login,http,bit.ly,bit.ly,ly,/free-login,,false,,http://bit.ly/free-login,1,2026-02-08T10:16:00Z,curated_seed,malicious,0.98,feed_consensus,shortener_phish
s0018,http://tinyurl.com/claim-prize,true,http://tinyurl.com/claim-prize,http://tinyurl.com/claim-prize,http,tinyurl.com,tinyurl.com,com,/claim-prize,,false,,http://tinyurl.com/claim-prize,1,2026-02-08T10:17:00Z,curated_seed,malicious,0.98,feed_consensus,shortener_phish
s0019,http://secure-update-account.xyz/verify,true,http://secure-update-account.xyz/verify,http://secure-update-account.xyz/verify,http,secure-update-account.xyz,secure-update-account.xyz,xyz,/verify,,false,,http://secure-update-account.xyz/verify,0,2026-02-08T10:18:00Z,curated_seed,malicious,0.99,manual,brand_abuse
s0020,http://pay-verify-now.top/reset?otp=1234,true,http://pay-verify-now.top/reset?otp=1234,http://pay-verify-now.top/reset?otp=1234,http,pay-verify-now.top,pay-verify-now.top,top,/reset,otp=1234,false,,http://pay-verify-now.top/reset?otp=1234,0,2026-02-08T10:19:00Z,curated_seed,malicious,0.99,manual,credential_harvest
s0021,http://192.168.0.10/login,true,http://192.168.0.10/login,http://192.168.0.10/login,http,192.168.0.10,192.168.0.10,10,/login,,false,,http://192.168.0.10/login,0,2026-02-08T10:20:00Z,curated_seed,malicious,0.96,rule,ip_host
s0022,http://xn--pple-43d.com/login,true,http://xn--pple-43d.com/login,http://xn--pple-43d.com/login,http,xn--pple-43d.com,xn--pple-43d.com,com,/login,,false,,http://xn--pple-43d.com/login,0,2026-02-08T10:21:00Z,curated_seed,malicious,0.98,manual,punycode_spoof
s0023,http://urgent-bank-confirm.ru/secure,true,http://urgent-bank-confirm.ru/secure,http://urgent-bank-confirm.ru/secure,http,urgent-bank-confirm.ru,urgent-bank-confirm.ru,ru,/secure,,false,,http://urgent-bank-confirm.ru/secure,0,2026-02-08T10:22:00Z,curated_seed,malicious,0.98,manual,bank_phish
s0024,http://account-recovery-security.click/verify,true,http://account-recovery-security.click/verify,http://account-recovery-security.click/verify,http,account-recovery-security.click,account-recovery-security.click,click,/verify,,false,,http://account-recovery-security.click/verify,0,2026-02-08T10:23:00Z,curated_seed,malicious,0.99,manual,credential_harvest
s0025,http://login-secure-wallet.biz/auth,true,http://login-secure-wallet.biz/auth,http://login-secure-wallet.biz/auth,http,login-secure-wallet.biz,login-secure-wallet.biz,biz,/auth,,false,,http://login-secure-wallet.biz/auth,0,2026-02-08T10:24:00Z,curated_seed,malicious,0.98,manual,wallet_phish
s0026,http://verify-payment-gateway.info/update,true,http://verify-payment-gateway.info/update,http://verify-payment-gateway.info/update,http,verify-payment-gateway.info,verify-payment-gateway.info,info,/update,,false,,http://verify-payment-gateway.info/update,0,2026-02-08T10:25:00Z,curated_seed,malicious,0.97,manual,payment_phish
s0027,http://signin-alerts-support.cn/confirm,true,http://signin-alerts-support.cn/confirm,http://signin-alerts-support.cn/confirm,http,signin-alerts-support.cn,signin-alerts-support.cn,cn,/confirm,,false,,http://signin-alerts-support.cn/confirm,0,2026-02-08T10:26:00Z,curated_seed,malicious,0.97,manual,credential_harvest
s0028,http://security-upgrade-check.site/login,true,http://security-upgrade-check.site/login,http://security-upgrade-check.site/login,http,security-upgrade-check.site,security-upgrade-check.site,site,/login,,false,,http://security-upgrade-check.site/login,0,2026-02-08T10:27:00Z,curated_seed,malicious,0.97,manual,social_engineering
s0029,http://wallet-kyc-verify.pro/validate,true,http://wallet-kyc-verify.pro/validate,http://wallet-kyc-verify.pro/validate,http,wallet-kyc-verify.pro,wallet-kyc-verify.pro,pro,/validate,,false,,http://wallet-kyc-verify.pro/validate,0,2026-02-08T10:28:00Z,curated_seed,malicious,0.98,manual,kyc_phish
s0030,http://mail-auth-reset-online.live/login,true,http://mail-auth-reset-online.live/login,http://mail-auth-reset-online.live/login,http,mail-auth-reset-online.live,mail-auth-reset-online.live,live,/login,,false,,http://mail-auth-reset-online.live/login,0,2026-02-08T10:29:00Z,curated_seed,malicious,0.98,manual,credential_harvest
s0031,https://www.coursera.org/learn/ml,true,https://www.coursera.org/learn/ml,https://www.coursera.org/learn/ml,https,www.coursera.org,coursera.org,org,/learn/ml,,false,,https://www.coursera.org/learn/ml,0,2026-02-08T10:30:00Z,curated_seed,benign,0.96,manual,seed_benign
s0032,https://www.nasa.gov,true,https://www.nasa.gov,https://www.nasa.gov,https,www.nasa.gov,nasa.gov,gov,,,false,,https://www.nasa.gov,0,2026-02-08T10:31:00Z,curated_seed,benign,0.98,manual,seed_benign
s0033,https://www.imdb.com/title/tt0111161,true,https://www.imdb.com/title/tt0111161,https://www.imdb.com/title/tt0111161,https,www.imdb.com,imdb.com,com,/title/tt0111161,,false,,https://www.imdb.com/title/tt0111161,0,2026-02-08T10:32:00Z,curated_seed,benign,0.95,manual,seed_benign
s0034,https://www.linkedin.com/feed,true,https://www.linkedin.com/feed,https://www.linkedin.com/feed,https,www.linkedin.com,linkedin.com,com,/feed,,false,,https://www.linkedin.com/feed,0,2026-02-08T10:33:00Z,curated_seed,benign,0.95,manual,seed_benign
s0035,https://www.nationalgeographic.com,true,https://www.nationalgeographic.com,https://www.nationalgeographic.com,https,www.nationalgeographic.com,nationalgeographic.com,com,,,false,,https://www.nationalgeographic.com,0,2026-02-08T10:34:00Z,curated_seed,benign,0.94,manual,seed_benign
s0036,https://www.cloudflare.com/learning,true,https://www.cloudflare.com/learning,https://www.cloudflare.com/learning,https,www.cloudflare.com,cloudflare.com,com,/learning,,false,,https://www.cloudflare.com/learning,0,2026-02-08T10:35:00Z,curated_seed,benign,0.97,manual,seed_benign
